time,open,high,low,close,volume
2026-02-26 06:20:00,5193.76,5195.42,5191.47,5193.67,1122.0
2026-02-26 06:25:00,5193.67,5194.87,5191.76,5194.22,1211.0
2026-02-26 06:30:00,5194.22,5195.08,5192.88,5194.84,1071.0
2026-02-26 06:35:00,5194.84,5195.54,5194.07,5195.39,839.0
2026-02-26 06:40:00,5195.41,5195.84,5194.15,5194.33,946.0
2026-02-26 06:45:00,5194.33,5194.86,5190.96,5191.56,901.0
2026-02-26 06:50:00,5191.56,5193.04,5190.71,5192.55,915.0
2026-02-26 06:55:00,5192.55,5193.64,5192.18,5192.68,988.0
2026-02-26 07:00:00,5192.7,5195.18,5189.94,5193.27,1111.0
2026-02-26 07:05:00,5193.27,5194.62,5192.18,5194.62,970.0
2026-02-26 07:10:00,5194.62,5199.52,5193.69,5198.0,1723.0
2026-02-26 07:15:00,5198.0,5202.37,5196.58,5200.0,1625.0
2026-02-26 07:20:00,5200.0,5203.23,5198.11,5202.82,1305.0
2026-02-26 07:25:00,5202.82,5205.65,5199.7,5200.59,1498.0
2026-02-26 07:30:00,5200.58,5201.86,5199.12,5201.31,2047.0
2026-02-26 07:35:00,5201.31,5203.43,5196.18,5199.44,1890.0
2026-02-26 07:40:00,5199.44,5201.67,5199.05,5199.68,1861.0
2026-02-26 07:45:00,5199.68,5200.26,5191.39,5193.81,2194.0
2026-02-26 07:50:00,5193.81,5196.45,5193.18,5194.11,1780.0
2026-02-26 07:55:00,5194.15,5198.74,5194.15,5198.34,2197.0
2026-02-26 08:00:00,5198.34,5199.46,5193.64,5193.87,1603.0
2026-02-26 08:05:00,5193.87,5199.6,5193.57,5198.43,1753.0
2026-02-26 08:10:00,5198.43,5198.47,5195.8,5198.01,1328.0
2026-02-26 08:15:00,5198.02,5198.51,5194.67,5196.04,1496.0
2026-02-26 08:20:00,5196.04,5197.16,5193.2,5196.39,1827.0
2026-02-26 08:25:00,5196.39,5197.9,5193.51,5193.92,1902.0
2026-02-26 08:30:00,5193.92,5197.57,5193.77,5197.07,1695.0
2026-02-26 08:35:00,5197.07,5198.5,5194.36,5197.0,1303.0
2026-02-26 08:40:00,5197.0,5197.63,5194.51,5196.65,1135.0
2026-02-26 08:45:00,5196.65,5197.18,5192.51,5192.9,1362.0
2026-02-26 08:50:00,5192.9,5196.95,5191.41,5193.33,1570.0
2026-02-26 08:55:00,5193.33,5193.57,5190.11,5193.34,1635.0
2026-02-26 09:00:00,5193.34,5194.86,5185.63,5190.63,1615.0
2026-02-26 09:05:00,5190.63,5190.78,5182.72,5184.81,1375.0
2026-02-26 09:10:00,5184.81,5187.7,5182.44,5187.54,1412.0
2026-02-26 09:15:00,5187.54,5190.77,5185.35,5188.79,1426.0
2026-02-26 09:20:00,5188.79,5189.43,5182.22,5186.09,1402.0
2026-02-26 09:25:00,5186.09,5187.99,5184.46,5185.21,1265.0
2026-02-26 09:30:00,5185.21,5188.89,5184.5,5186.19,1240.0
2026-02-26 09:35:00,5186.19,5189.06,5184.64,5188.36,1093.0
2026-02-26 09:40:00,5188.36,5189.88,5186.07,5186.47,731.0
2026-02-26 09:45:00,5186.47,5186.9,5181.88,5181.93,1235.0
2026-02-26 09:50:00,5181.93,5184.14,5179.78,5183.7,1469.0
2026-02-26 09:55:00,5183.69,5188.29,5183.69,5186.0,1271.0
2026-02-26 10:00:00,5186.0,5187.04,5179.75,5181.54,2061.0
2026-02-26 10:05:00,5181.55,5185.42,5179.44,5183.7,1894.0
2026-02-26 10:10:00,5183.7,5190.75,5183.57,5189.41,2213.0
2026-02-26 10:15:00,5189.41,5190.85,5184.77,5187.31,1456.0
2026-02-26 10:20:00,5187.31,5187.5,5184.9,5187.08,1380.0
2026-02-26 10:25:00,5187.08,5187.67,5175.41,5176.96,2612.0
2026-02-26 10:30:00,5176.96,5180.92,5170.91,5175.06,2881.0
2026-02-26 10:35:00,5175.06,5177.66,5172.7,5174.91,2333.0
2026-02-26 10:40:00,5174.91,5176.96,5171.84,5174.21,1966.0
2026-02-26 10:45:00,5174.2,5179.88,5167.74,5179.78,2546.0
2026-02-26 10:50:00,5179.78,5182.35,5177.89,5178.48,1881.0
2026-02-26 10:55:00,5178.49,5181.65,5175.36,5179.35,1786.0
2026-02-26 11:00:00,5179.35,5180.51,5174.37,5174.44,2024.0
2026-02-26 11:05:00,5174.44,5178.37,5174.12,5177.57,1595.0
2026-02-26 11:10:00,5177.57,5182.5,5177.5,5181.64,1713.0
2026-02-26 11:15:00,5181.64,5182.33,5175.92,5177.12,1844.0
2026-02-26 11:20:00,5177.11,5177.16,5174.76,5176.56,1633.0
2026-02-26 11:25:00,5176.56,5182.35,5176.56,5181.04,1493.0
2026-02-26 11:30:00,5181.03,5183.88,5179.34,5181.74,1404.0
2026-02-26 11:35:00,5181.73,5183.65,5180.26,5183.09,1114.0
2026-02-26 11:40:00,5183.09,5183.52,5180.36,5181.58,907.0
2026-02-26 11:45:00,5181.58,5185.39,5181.58,5184.61,1251.0
2026-02-26 11:50:00,5184.61,5187.25,5184.03,5186.77,1252.0
2026-02-26 11:55:00,5186.79,5189.59,5186.06,5186.47,1332.0
2026-02-26 12:00:00,5186.47,5189.71,5185.63,5189.68,947.0
2026-02-26 12:05:00,5189.68,5190.2,5188.15,5188.56,888.0
2026-02-26 12:10:00,5188.55,5188.7,5187.09,5187.86,931.0
2026-02-26 12:15:00,5187.9,5188.83,5181.92,5182.79,1124.0
2026-02-26 12:20:00,5182.79,5184.51,5181.04,5183.47,1468.0
2026-02-26 12:25:00,5183.46,5185.1,5178.75,5179.47,1593.0
2026-02-26 12:30:00,5179.33,5179.62,5174.73,5176.73,2081.0
2026-02-26 12:35:00,5176.84,5177.24,5171.93,5176.06,1898.0
2026-02-26 12:40:00,5176.06,5178.92,5172.11,5172.16,1901.0
2026-02-26 12:45:00,5172.13,5175.25,5170.63,5171.46,1878.0
2026-02-26 12:50:00,5171.44,5173.62,5169.0,5173.52,1845.0
2026-02-26 12:55:00,5173.52,5173.75,5165.97,5171.36,2024.0
2026-02-26 13:00:00,5171.36,5175.19,5169.35,5173.88,2063.0
2026-02-26 13:05:00,5173.88,5178.52,5172.61,5177.26,1602.0
2026-02-26 13:10:00,5177.26,5177.41,5175.26,5175.89,1109.0
2026-02-26 13:15:00,5175.89,5176.02,5171.02,5175.44,1702.0
2026-02-26 13:20:00,5175.44,5175.83,5171.14,5171.77,1247.0
2026-02-26 13:25:00,5171.77,5176.15,5171.48,5171.97,1298.0
2026-02-26 13:30:00,5171.97,5174.13,5171.6,5173.45,950.0
2026-02-26 13:35:00,5173.45,5175.45,5172.42,5173.49,1118.0
2026-02-26 13:40:00,5173.49,5175.02,5173.02,5174.6,797.0
2026-02-26 13:45:00,5174.6,5174.6,5170.96,5171.43,1156.0
2026-02-26 13:50:00,5171.44,5171.63,5161.22,5163.7,1990.0
2026-02-26 13:55:00,5163.7,5166.0,5161.78,5164.67,1478.0
2026-02-26 14:00:00,5164.68,5168.06,5157.78,5165.67,2806.0
2026-02-26 14:05:00,5165.67,5169.19,5163.08,5169.04,1892.0
2026-02-26 14:10:00,5169.02,5169.94,5166.75,5168.45,1353.0
2026-02-26 14:15:00,5168.45,5173.74,5165.99,5172.16,1770.0
2026-02-26 14:20:00,5172.16,5176.4,5170.31,5176.38,1695.0
2026-02-26 14:25:00,5176.38,5180.25,5175.81,5178.47,1704.0
2026-02-26 14:30:00,5178.48,5184.15,5177.8,5183.0,1648.0
2026-02-26 14:35:00,5183.0,5184.33,5179.85,5182.24,1397.0
2026-02-26 14:40:00,5182.24,5187.74,5182.14,5187.56,1633.0
2026-02-26 14:45:00,5187.57,5187.95,5181.34,5181.42,1479.0
2026-02-26 14:50:00,5181.42,5182.02,5179.57,5181.32,1402.0
2026-02-26 14:55:00,5181.32,5184.97,5179.93,5183.73,1429.0
2026-02-26 15:00:00,5183.73,5185.71,5175.1,5175.76,3035.0
2026-02-26 15:05:00,5175.79,5180.51,5171.15,5172.45,3048.0
2026-02-26 15:10:00,5172.46,5174.63,5168.2,5174.1,2673.0
2026-02-26 15:15:00,5174.11,5177.93,5171.59,5171.74,2647.0
2026-02-26 15:20:00,5171.74,5178.9,5171.41,5178.22,2277.0
2026-02-26 15:25:00,5178.22,5178.22,5174.55,5174.58,1528.0
2026-02-26 15:30:00,5174.58,5175.62,5166.03,5174.04,2561.0
2026-02-26 15:35:00,5174.04,5177.23,5169.67,5173.58,2410.0
2026-02-26 15:40:00,5173.51,5174.46,5164.21,5165.37,2507.0
2026-02-26 15:45:00,5165.38,5169.78,5164.61,5168.66,2020.0
2026-02-26 15:50:00,5168.66,5171.01,5167.64,5170.87,1982.0
2026-02-26 15:55:00,5170.87,5171.62,5166.05,5166.24,1500.0
2026-02-26 16:00:00,5166.04,5170.15,5162.78,5166.02,3075.0
2026-02-26 16:05:00,5166.02,5167.62,5160.26,5163.55,2503.0
2026-02-26 16:10:00,5163.55,5166.96,5162.59,5166.27,1531.0
2026-02-26 16:15:00,5166.27,5168.86,5165.18,5167.04,1808.0
2026-02-26 16:20:00,5167.04,5170.2,5163.59,5168.91,1836.0
2026-02-26 16:25:00,5168.91,5172.4,5168.55,5170.43,2178.0
2026-02-26 16:30:00,5170.43,5170.43,5139.79,5165.9,6090.0
2026-02-26 16:35:00,5165.9,5174.89,5164.0,5166.35,4937.0
2026-02-26 16:40:00,5166.35,5174.36,5158.3,5172.35,5414.0
2026-02-26 16:45:00,5172.35,5176.18,5165.91,5171.95,4705.0
2026-02-26 16:50:00,5171.94,5173.68,5163.83,5168.95,5009.0
2026-02-26 16:55:00,5168.95,5171.6,5164.18,5164.98,4441.0
2026-02-26 17:00:00,5164.99,5172.36,5158.98,5167.81,4860.0
2026-02-26 17:05:00,5167.81,5170.4,5163.55,5167.17,4043.0
2026-02-26 17:10:00,5167.19,5171.69,5161.24,5162.43,4002.0
2026-02-26 17:15:00,5162.45,5163.45,5150.18,5158.9,4807.0
2026-02-26 17:20:00,5158.9,5162.34,5151.97,5154.57,4686.0
2026-02-26 17:25:00,5154.66,5158.32,5130.65,5141.77,5969.0
2026-02-26 17:30:00,5141.77,5156.5,5140.63,5153.71,5246.0
2026-02-26 17:35:00,5153.7,5169.5,5152.8,5169.21,4585.0
2026-02-26 17:40:00,5169.23,5176.71,5166.34,5175.78,4185.0
2026-02-26 17:45:00,5175.78,5186.51,5175.33,5182.49,3821.0
2026-02-26 17:50:00,5182.52,5192.83,5181.03,5189.93,4203.0
2026-02-26 17:55:00,5189.92,5192.66,5183.16,5185.71,3827.0
2026-02-26 18:00:00,5185.77,5187.27,5178.52,5178.73,3518.0
2026-02-26 18:05:00,5178.73,5180.94,5176.75,5178.27,3047.0
2026-02-26 18:10:00,5178.27,5180.4,5172.99,5176.86,3027.0
2026-02-26 18:15:00,5176.88,5184.71,5173.85,5181.42,2840.0
2026-02-26 18:20:00,5181.42,5184.55,5176.23,5178.35,2897.0
2026-02-26 18:25:00,5178.35,5180.66,5175.58,5180.38,2774.0
2026-02-26 18:30:00,5180.39,5183.67,5178.01,5182.02,2502.0
2026-02-26 18:35:00,5182.02,5184.5,5179.73,5182.66,2364.0
2026-02-26 18:40:00,5182.59,5186.36,5180.39,5183.19,2472.0
2026-02-26 18:45:00,5183.19,5185.58,5178.67,5181.55,2611.0
2026-02-26 18:50:00,5181.55,5183.74,5176.66,5179.08,2607.0
2026-02-26 18:55:00,5179.08,5180.96,5175.39,5179.68,2244.0
2026-02-26 19:00:00,5179.68,5182.9,5178.39,5181.3,2080.0
2026-02-26 19:05:00,5181.28,5188.06,5180.83,5186.36,2098.0
2026-02-26 19:10:00,5186.36,5190.45,5179.44,5179.77,2172.0
2026-02-26 19:15:00,5179.82,5181.48,5175.54,5178.31,2354.0
2026-02-26 19:20:00,5178.31,5181.88,5177.98,5179.52,1840.0
2026-02-26 19:25:00,5179.52,5180.35,5173.73,5174.31,2065.0
2026-02-26 19:30:00,5174.31,5177.04,5171.95,5176.69,2372.0
2026-02-26 19:35:00,5176.69,5177.88,5172.71,5173.92,2459.0
2026-02-26 19:40:00,5173.92,5176.96,5173.63,5174.82,2619.0
2026-02-26 19:45:00,5174.82,5175.43,5165.9,5169.93,2551.0
2026-02-26 19:50:00,5169.93,5173.05,5165.05,5167.04,2779.0
2026-02-26 19:55:00,5167.04,5168.73,5161.94,5167.24,2676.0
2026-02-26 20:00:00,5167.24,5171.46,5167.24,5168.9,1967.0
2026-02-26 20:05:00,5168.9,5171.16,5163.55,5170.12,2330.0
2026-02-26 20:10:00,5170.1,5173.71,5169.17,5173.32,2234.0
2026-02-26 20:15:00,5173.32,5176.45,5171.93,5174.34,1813.0
2026-02-26 20:20:00,5174.34,5176.85,5173.95,5174.72,1972.0
2026-02-26 20:25:00,5174.72,5178.41,5173.89,5177.24,2228.0
2026-02-26 20:30:00,5177.24,5180.58,5165.93,5167.68,2846.0
2026-02-26 20:35:00,5167.68,5177.37,5160.91,5175.68,3654.0
2026-02-26 20:40:00,5175.68,5182.55,5174.68,5181.19,2085.0
2026-02-26 20:45:00,5181.12,5185.41,5181.12,5184.76,1981.0
2026-02-26 20:50:00,5184.76,5185.85,5180.77,5180.97,1708.0
2026-02-26 20:55:00,5180.97,5182.47,5178.93,5180.46,1585.0
2026-02-26 21:00:00,5180.49,5186.17,5179.65,5185.49,1670.0
2026-02-26 21:05:00,5185.49,5187.75,5184.16,5186.18,1655.0
2026-02-26 21:10:00,5186.18,5188.38,5184.87,5186.5,1447.0
2026-02-26 21:15:00,5186.52,5187.91,5185.14,5187.64,1590.0
2026-02-26 21:20:00,5187.66,5189.28,5185.34,5185.75,1502.0
2026-02-26 21:25:00,5185.74,5186.74,5184.55,5185.65,1381.0
2026-02-26 21:30:00,5185.65,5188.96,5183.45,5188.94,1614.0
2026-02-26 21:35:00,5188.94,5191.03,5183.64,5184.09,1783.0
2026-02-26 21:40:00,5184.1,5186.98,5183.88,5186.31,1271.0
2026-02-26 21:45:00,5186.33,5190.97,5186.33,5190.85,1020.0
